name,bitdepth,rmse,psnr,compressed_size,bpp,compression_ratio,ssim
I282_q30_rec,16,3.8047,84.72,31438,0.9594,16.68,
I282_q60_rec,16,6.3886,80.22,20982,0.6403,24.99,
I283_q10_rec,16,1.632,92.08,56337,1.7193,9.31,
I283_q30_rec,16,3.7842,84.77,31143,0.9504,16.83,
I283_q60_rec,16,6.3643,80.25,21027,0.6417,24.93,
I284_q10_rec,16,1.6213,92.13,55759,1.7016,9.4,
I284_q30_rec,16,3.7705,84.8,30785,0.9395,17.03,
I284_q60_rec,16,6.3598,80.26,20795,0.6346,25.21,
I285_q10_rec,16,1.6148,92.17,54342,1.6584,9.65,
I285_q30_rec,16,3.7173,84.92,30010,0.9158,17.47,
I285_q60_rec,16,6.2782,80.37,20155,0.6151,26.01,
I286_q10_rec,16,1.603,92.23,52695,1.6081,9.95,
I286_q30_rec,16,3.6833,85.0,28815,0.8794,18.19,
I286_q60_rec,16,6.1385,80.57,19257,0.5877,27.23,
I287_q10_rec,16,1.5822,92.34,51721,1.5784,10.14,
I287_q30_rec,16,3.6278,85.14,28049,0.856,18.69,
I287_q60_rec,16,6.1103,80.61,18936,0.5779,27.69,
I288_q10_rec,16,1.5738,92.39,49908,1.5231,10.51,
I288_q30_rec,16,3.5825,85.25,26892,0.8207,19.5,
I288_q60_rec,16,5.9981,80.77,17893,0.5461,29.3,
I289_q10_rec,16,1.5527,92.51,48153,1.4695,10.89,
I289_q30_rec,16,3.5272,85.38,25625,0.782,20.46,
I289_q60_rec,16,5.8593,80.97,16918,0.5163,30.99,
I28_q10_rec,16,922.5056,37.03,80695,2.4626,6.5,
I28_q30_rec,16,922.5137,37.03,46657,1.4239,11.24,
I28_q60_rec,16,922.5315,37.03,33921,1.0352,15.46,
I290_q10_rec,16,1.5348,92.61,46268,1.412,11.33,
I290_q30_rec,16,3.4662,85.53,24293,0.7414,21.58,
I290_q60_rec,16,5.7298,81.17,15885,0.4848,33.01,
I291_q10_rec,16,1.5257,92.66,44101,1.3459,11.89,
I291_q30_rec,16,3.4132,85.67,22921,0.6995,22.87,
I291_q60_rec,16,5.6068,81.36,14895,0.4546,35.2,
I292_q10_rec,16,1.5023,92.79,42284,1.2904,12.4,
I292_q30_rec,16,3.3425,85.85,21514,0.6566,24.37,
I292_q60_rec,16,5.4476,81.61,13986,0.4268,37.49,
I293_q10_rec,16,1.4731,92.96,39517,1.206,13.27,
I293_q30_rec,16,3.2224,86.17,19400,0.592,27.03,
I293_q60_rec,16,5.2309,81.96,12486,0.381,41.99,
I294_q10_rec,16,1.4573,93.06,37026,1.1299,14.16,
I294_q30_rec,16,3.153,86.36,17779,0.5426,29.49,
I294_q60_rec,16,5.0479,82.27,11111,0.3391,47.19,
I295_q10_rec,16,1.4241,93.26,33931,1.0355,15.45,
I295_q30_rec,16,3.0225,86.72,15666,0.4781,33.47,
I295_q60_rec,16,4.7824,82.74,9520,0.2905,55.07,
I296_q10_rec,16,1.4114,93.34,32658,0.9966,16.05,
I296_q30_rec,16,2.9873,86.82,14676,0.4479,35.72,
I296_q60_rec,16,4.7184,82.85,8875,0.2708,59.07,
I297_q10_rec,16,1.3878,93.48,30576,0.9331,17.15,
I297_q30_rec,16,2.8832,87.13,13676,0.4174,38.34,
I297_q60_rec,16,4.4803,83.3,8257,0.252,63.5,
I298_q10_rec,16,1.3714,93.59,29785,0.909,17.6,
I298_q30_rec,16,2.866,87.18,13000,0.3967,40.33,
I298_q60_rec,16,4.4298,83.4,7847,0.2395,66.81,
I299_q10_rec,16,1.3517,93.71,28189,0.8603,18.6,
I299_q30_rec,16,2.8011,87.38,12140,0.3705,43.19,
I299_q60_rec,16,4.33,83.6,7225,0.2205,72.57,
I29_q10_rec,16,922.5056,37.03,78802,2.4048,6.65,
I29_q30_rec,16,922.5134,37.03,45291,1.3822,11.58,
I29_q60_rec,16,922.5309,37.03,32859,1.0028,15.96,
I2_q10_rec,16,922.5058,37.03,91257,2.7849,5.75,
I2_q30_rec,16,922.5151,37.03,55132,1.6825,9.51,
I2_q60_rec,16,922.5369,37.03,40236,1.2279,13.03,
I300_q10_rec,16,1.3292,93.86,27294,0.8329,19.21,
I300_q30_rec,16,2.7492,87.55,11438,0.3491,45.84,
I300_q60_rec,16,4.2114,83.84,6809,0.2078,77.0,
I301_q10_rec,16,1.2975,94.07,25022,0.7636,20.95,
I301_q30_rec,16,2.6419,87.89,10190,0.311,51.45,
I301_q60_rec,16,4.0033,84.28,5931,0.181,88.4,
I302_q10_rec,16,1.279,94.19,23840,0.7275,21.99,
I302_q30_rec,16,2.5844,88.08,9477,0.2892,55.32,
I302_q60_rec,16,3.9091,84.49,5587,0.1705,93.84,
I30_q10_rec,16,922.5055,37.03,75623,2.3078,6.93,
I30_q30_rec,16,922.5129,37.03,43548,1.329,12.04,
I30_q60_rec,16,922.5297,37.03,31759,0.9692,16.51,
I31_q10_rec,16,922.5054,37.03,69619,2.1246,7.53,
I31_q30_rec,16,922.5121,37.03,41008,1.2515,12.79,
I31_q60_rec,16,922.5275,37.03,29918,0.913,17.52,
I32_q10_rec,16,922.5052,37.03,60991,1.8613,8.6,
I32_q30_rec,16,922.511,37.03,36200,1.1047,14.48,
I32_q60_rec,16,922.5244,37.03,26865,0.8199,19.52,
I33_q10_rec,16,922.5049,37.03,50665,1.5462,10.35,
I33_q30_rec,16,922.5097,37.03,31465,0.9602,16.66,
I33_q60_rec,16,922.5208,37.03,23908,0.7296,21.93,
I34_q10_rec,16,922.5048,37.03,44163,1.3477,11.87,
I34_q30_rec,16,922.5089,37.03,27947,0.8529,18.76,
I34_q60_rec,16,922.5184,37.03,21544,0.6575,24.34,
I35_q10_rec,16,922.5048,37.03,40955,1.2498,12.8,
I35_q30_rec,16,922.5083,37.03,25944,0.7917,20.21,
I35_q60_rec,16,922.5169,37.03,20161,0.6153,26.01,
I36_q10_rec,16,922.506,37.03,99294,3.0302,5.28,
I36_q30_rec,16,922.5164,37.03,59262,1.8085,8.85,
I36_q60_rec,16,922.5401,37.03,42425,1.2947,12.36,
I37_q10_rec,16,922.506,37.03,100394,3.0638,5.22,
I37_q30_rec,16,922.5166,37.03,59818,1.8255,8.76,
I37_q60_rec,16,922.5402,37.03,42744,1.3044,12.27,
I38_q10_rec,16,922.5059,37.03,97904,2.9878,5.36,
I38_q30_rec,16,922.5162,37.03,58017,1.7705,9.04,
I38_q60_rec,16,922.5395,37.03,41615,1.27,12.6,
I39_q10_rec,16,922.5059,37.03,97647,2.9799,5.37,
I39_q30_rec,16,922.5161,37.03,58004,1.7701,9.04,
I39_q60_rec,16,922.5396,37.03,41624,1.2703,12.6,
I3_q10_rec,16,922.5057,37.03,89506,2.7315,5.86,
I3_q30_rec,16,922.5148,37.03,53889,1.6446,9.73,
I3_q60_rec,16,922.5362,37.03,39448,1.2039,13.29,
I40_q10_rec,16,922.506,37.03,101386,3.0941,5.17,
I40_q30_rec,16,922.5167,37.03,60755,1.8541,8.63,
I40_q60_rec,16,922.5411,37.03,43718,1.3342,11.99,
I41_q10_rec,16,922.506,37.03,106509,3.2504,4.92,
I41_q30_rec,16,922.5173,37.03,64349,1.9638,8.15,
I41_q60_rec,16,922.5436,37.03,46308,1.4132,11.32,
I42_q10_rec,16,922.5061,37.03,109040,3.3276,4.81,
I42_q30_rec,16,922.5177,37.03,66478,2.0287,7.89,
I42_q60_rec,16,922.5449,37.03,47823,1.4594,10.96,
I43_q10_rec,16,922.5061,37.03,111135,3.3916,4.72,
I43_q30_rec,16,922.518,37.03,67611,2.0633,7.75,
I43_q60_rec,16,922.5454,37.03,48357,1.4757,10.84,
I44_q10_rec,16,922.5062,37.03,113879,3.4753,4.6,
I44_q30_rec,16,922.5184,37.03,69642,2.1253,7.53,
I44_q60_rec,16,922.5469,37.03,49994,1.5257,10.49,
I45_q10_rec,16,922.5062,37.03,117736,3.593,4.45,
I45_q30_rec,16,922.5189,37.03,72368,2.2085,7.24,
I45_q60_rec,16,922.5484,37.03,51350,1.5671,10.21,
I46_q10_rec,16,922.5062,37.03,120022,3.6628,4.37,
I46_q30_rec,16,922.5193,37.03,74028,2.2592,7.08,
I46_q60_rec,16,922.5495,37.03,52888,1.614,9.91,
I47_q10_rec,16,922.5062,37.03,121018,3.6932,4.33,
